LAT,LON,YEAR,MONTH,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,WS2M,TS,EVLAND,GWETROOT
13.5,122.5,2010,MAR,30.9,24.36,2.49,75.79,20.72,5.13,28.58,3.48,0.62
14.5,122.5,2010,MAR,28.3,25.17,1.96,80.27,20.05,5.91,27.83,2.85,0.7
15.5,122.5,2010,MAR,27.69,25.41,1.02,81.09,20.76,5.57,27.66,,
13.5,122.5,2011,MAR,28.43,24.19,10.34,85.37,15.4,6.63,26.21,4.5,0.96
14.5,122.5,2011,MAR,27.14,25.07,10.47,83.49,14.69,7.43,26.3,4.85,0.98
15.5,122.5,2011,MAR,26.9,25.01,4.59,82.16,16.44,7.4,26.51,,
13.5,122.5,2012,MAR,29.72,24.9,11.5,81.88,17.82,5.51,27.25,4.7,0.92
14.5,122.5,2012,MAR,28.05,25.72,10.82,80.92,15.61,6.41,27.24,4.65,0.95
15.5,122.5,2012,MAR,28.15,25.62,6.54,79.53,16.5,6.18,27.51,,
13.5,122.5,2013,MAR,30.52,23.91,2.91,80.49,20.95,4.55,27.73,4.9,0.85
14.5,122.5,2013,MAR,28.37,25.17,4.05,81.34,19.56,5.25,27.59,4.58,0.91
15.5,122.5,2013,MAR,28.35,25.46,2.47,80.51,20.42,4.93,27.84,,
13.5,122.5,2014,MAR,30.02,23.49,3.41,77.94,20.22,5.36,27.33,3.72,0.68
14.5,122.5,2014,MAR,28.28,24.9,3.5,80.36,19.07,5.73,26.72,3.79,0.81
15.5,122.5,2014,MAR,27.84,25.18,2.72,79.68,20.32,5.47,27.0,,
13.5,122.5,2015,MAR,30.35,22.91,2.16,75.71,21.59,5.13,27.23,4.25,0.71
14.5,122.5,2015,MAR,27.63,24.63,2.08,77.3,21.03,5.62,27.04,3.54,0.77
15.5,122.5,2015,MAR,27.28,24.76,1.15,77.68,21.19,5.16,27.03,,
13.5,122.5,2016,MAR,30.68,24.12,4.76,79.79,22.22,3.86,27.99,5.06,0.83
14.5,122.5,2016,MAR,28.93,25.55,4.05,81.33,20.5,4.88,27.71,4.46,0.86
15.5,122.5,2016,MAR,27.99,25.28,1.59,81.71,19.73,4.77,27.53,,
13.5,122.5,2017,MAR,30.02,23.43,4.6,81.27,20.6,4.98,27.04,4.96,0.84
14.5,122.5,2017,MAR,28.08,24.96,3.26,81.31,19.47,5.54,26.94,4.53,0.89
15.5,122.5,2017,MAR,27.24,25.23,1.32,80.64,20.61,5.19,26.96,,
13.5,122.5,2018,MAR,29.7,24.26,3.86,80.02,20.23,5.46,27.3,5.33,0.88
14.5,122.5,2018,MAR,27.95,25.53,3.69,79.65,18.95,5.96,27.45,4.81,0.9
15.5,122.5,2018,MAR,28.16,25.56,1.59,78.46,20.2,5.94,27.81,,
13.5,122.5,2019,MAR,31.2,23.99,0.42,71.81,23.19,4.2,28.8,3.17,0.58
14.5,122.5,2019,MAR,27.91,25.01,0.75,77.3,22.6,4.87,27.71,3.01,0.7
15.5,122.5,2019,MAR,27.76,24.86,0.52,77.69,22.6,4.15,27.38,,
13.5,122.5,2020,MAR,30.04,23.81,14.82,79.65,23.08,4.31,27.69,5.55,0.88
14.5,122.5,2020,MAR,28.76,25.35,9.83,81.39,22.17,4.83,27.67,5.18,0.92
15.5,122.5,2020,MAR,28.05,25.57,2.34,81.17,22.16,4.46,27.72,,
13.5,122.5,2021,MAR,30.2,24.84,8.71,81.74,21.04,4.91,27.72,5.26,0.96
14.5,122.5,2021,MAR,28.66,26.49,5.66,81.18,19.68,5.49,27.65,5.0,0.95
15.5,122.5,2021,MAR,28.56,26.64,2.04,79.93,20.33,5.36,27.99,,
13.5,122.5,2022,MAR,30.69,24.88,3.89,82.22,20.37,4.38,28.09,4.43,0.87
14.5,122.5,2022,MAR,29.47,26.12,4.63,82.44,19.87,5.16,27.91,4.37,0.93
15.5,122.5,2022,MAR,28.75,26.02,2.19,81.53,21.04,4.77,28.15,,
13.5,122.5,2023,MAR,30.4,23.4,1.65,79.87,21.51,5.15,26.86,5.09,0.85
14.5,122.5,2023,MAR,28.21,24.76,1.32,79.7,21.0,5.75,26.83,4.35,0.86
15.5,122.5,2023,MAR,28.18,24.91,0.4,79.05,22.17,5.56,27.1,,
13.5,122.5,2024,MAR,31.04,24.35,2.44,77.38,21.41,4.74,28.31,3.89,0.67
14.5,122.5,2024,MAR,29.09,25.84,2.56,79.64,20.33,5.61,27.83,3.05,0.73
15.5,122.5,2024,MAR,28.34,25.93,2.22,80.04,19.73,5.32,27.69,,
13.5,122.5,2025,MAR,30.03,24.78,5.96,82.81,19.54,5.16,27.6,4.83,0.91
14.5,122.5,2025,MAR,28.92,25.39,5.75,82.24,17.58,5.85,27.48,4.5,0.93
15.5,122.5,2025,MAR,28.43,25.48,2.64,80.58,17.41,5.73,27.72,,
13.5,122.5,1990,APR,33.14,24.95,0.61,70.16,23.62,4.31,30.82,2.26,0.5
14.5,122.5,1990,APR,31.54,26.09,0.73,77.59,23.12,4.92,28.95,2.15,0.63
15.5,122.5,1990,APR,29.22,26.22,0.56,81.27,23.55,4.75,28.22,,
13.5,122.5,1991,APR,31.47,24.86,2.35,74.11,23.35,4.19,29.57,3.3,0.59
14.5,122.5,1991,APR,29.15,25.61,2.72,79.89,22.39,5.02,28.38,3.24,0.71
15.5,122.5,1991,APR,28.31,25.55,2.13,81.28,21.96,4.72,27.99,,
13.5,122.5,1992,APR,33.21,24.56,0.92,68.35,23.24,3.62,31.11,2.35,0.49
14.5,122.5,1992,APR,31.96,25.86,1.15,75.69,23.54,4.45,29.27,2.11,0.62
15.5,122.5,1992,APR,29.21,26.03,0.99,80.02,23.42,4.23,28.46,,
13.5,122.5,1993,APR,32.1,23.79,0.71,70.56,23.61,4.14,29.93,2.84,0.53
14.5,122.5,1993,APR,29.19,25.17,1.23,77.76,23.97,4.82,28.38,2.79,0.66
15.5,122.5,1993,APR,28.31,25.92,1.52,79.26,23.83,4.21,27.92,,
13.5,122.5,1994,APR,31.51,24.77,4.87,77.52,22.53,3.94,29.2,4.13,0.69
14.5,122.5,1994,APR,30.23,26.24,4.39,79.83,22.59,4.68,28.64,3.9,0.79
15.5,122.5,1994,APR,29.28,26.32,2.04,80.58,23.39,4.37,28.3,,
13.5,122.5,1995,APR,32.69,24.51,1.01,68.66,23.64,4.77,30.46,2.2,0.49
14.5,122.5,1995,APR,29.13,25.82,1.23,76.86,23.94,5.25,28.55,2.98,0.67
15.5,122.5,1995,APR,28.5,26.14,0.54,76.57,24.57,4.39,28.21,,
13.5,122.5,1996,APR,29.94,25.49,8.59,83.1,18.58,4.33,27.91,4.09,0.84
14.5,122.5,1996,APR,29.11,25.7,12.93,84.77,18.09,5.22,27.42,4.44,0.94
15.5,122.5,1996,APR,27.86,25.68,5.16,83.95,19.68,5.36,27.25,,
13.5,122.5,1997,APR,32.35,24.71,0.67,70.27,23.2,3.61,30.36,3.2,0.55
14.5,122.5,1997,APR,29.43,25.43,1.25,78.17,23.47,4.35,28.53,3.2,0.69
15.5,122.5,1997,APR,28.14,26.14,0.76,79.18,23.6,3.9,28.21,,
13.5,122.5,1998,APR,32.94,25.88,0.52,65.74,22.8,4.73,31.73,0.69,0.47
14.5,122.5,1998,APR,31.22,26.3,0.62,76.3,23.96,5.45,29.05,0.89,0.6
15.5,122.5,1998,APR,28.33,26.2,0.9,79.39,24.06,4.68,28.25,,
13.5,122.5,1999,APR,30.39,25.06,6.1,81.36,20.27,3.56,28.37,4.73,0.94
14.5,122.5,1999,APR,28.99,26.26,9.41,82.48,19.47,4.39,28.19,4.98,0.98
15.5,122.5,1999,APR,29.35,26.48,6.53,81.96,19.77,4.4,28.24,,
13.5,122.5,2000,APR,31.88,25.51,3.56,79.75,22.18,3.36,29.09,4.68,0.91
14.5,122.5,2000,APR,30.74,26.67,4.36,81.28,22.24,3.94,28.71,4.36,0.95
15.5,122.5,2000,APR,29.37,26.49,2.53,81.05,22.99,3.55,28.89,,
13.5,122.5,2001,APR,31.93,26.1,2.11,75.74,22.63,3.54,29.96,4.77,0.79
14.5,122.5,2001,APR,30.29,26.75,3.23,78.98,22.24,4.27,29.32,4.72,0.89
15.5,122.5,2001,APR,29.62,26.98,2.51,78.88,22.31,4.17,29.22,,
13.5,122.5,2002,APR,32.13,25.01,1.62,71.5,23.3,4.43,30.12,3.4,0.58
14.5,122.5,2002,APR,29.04,26.28,2.03,77.51,23.53,5.0,28.63,3.33,0.71
15.5,122.5,2002,APR,28.54,26.77,1.26,76.99,23.49,4.48,28.49,,
13.5,122.5,2003,APR,32.6,25.36,1.73,70.49,23.85,3.91,30.91,2.54,0.49
14.5,122.5,2003,APR,30.59,25.97,2.26,78.84,23.58,4.63,28.91,2.89,0.64
15.5,122.5,2003,APR,28.68,26.26,1.52,80.27,23.87,4.37,28.34,,
13.5,122.5,2004,APR,32.41,25.84,1.55,73.14,23.53,3.62,30.43,3.58,0.6
14.5,122.5,2004,APR,29.42,26.62,2.32,79.75,22.33,4.22,28.99,4.12,0.8
15.5,122.5,2004,APR,29.25,26.05,1.15,78.97,22.37,3.96,28.84,,
13.5,122.5,2005,APR,32.22,24.71,1.46,73.29,23.22,4.04,29.45,3.51,0.59
14.5,122.5,2005,APR,30.0,25.4,2.03,78.85,22.75,4.45,28.16,3.68,0.74
15.5,122.5,2005,APR,28.31,25.38,0.91,79.18,23.49,4.01,28.02,,
13.5,122.5,2006,APR,31.8,25.38,0.74,74.48,22.68,4.01,29.49,4.31,0.68
14.5,122.5,2006,APR,31.07,26.47,0.83,77.29,23.11,4.61,28.82,4.08,0.78
15.5,122.5,2006,APR,28.92,26.6,0.43,76.6,24.9,3.84,28.6,,
13.5,122.5,2007,APR,32.34,25.13,1.79,73.57,23.32,4.22,30.09,2.99,0.56
14.5,122.5,2007,APR,31.34,26.45,2.12,78.3,22.66,4.96,28.96,2.85,0.66
15.5,122.5,2007,APR,29.07,26.6,1.14,79.53,22.79,4.6,28.63,,
13.5,122.5,2008,APR,31.03,25.72,6.32,80.72,20.63,4.29,28.69,4.67,0.84
14.5,122.5,2008,APR,29.23,26.83,6.76,81.53,20.68,5.01,28.49,4.27,0.87
15.5,122.5,2008,APR,28.67,26.96,4.16,80.95,21.15,4.58,28.72,,
13.5,122.5,2009,APR,30.25,25.74,16.89,82.29,19.13,3.56,28.52,3.77,0.92
14.5,122.5,2009,APR,30.37,26.48,15.12,82.09,18.45,4.37,28.44,3.77,0.96
15.5,122.5,2009,APR,29.27,26.63,10.9,82.4,19.61,4.89,28.73,,
13.5,122.5,2010,APR,32.47,25.52,1.37,73.13,23.34,4.13,30.26,2.9,0.53
14.5,122.5,2010,APR,30.68,26.63,1.46,78.95,23.23,4.9,28.93,2.27,0.63
15.5,122.5,2010,APR,28.96,26.22,1.46,80.66,23.64,4.18,28.48,,
13.5,122.5,2011,APR,30.38,23.48,2.19,79.3,21.59,4.76,27.24,5.0,0.83
14.5,122.5,2011,APR,29.13,24.44,2.32,79.5,20.77,5.34,27.01,4.52,0.86
15.5,122.5,2011,APR,28.3,24.77,1.99,79.06,22.4,5.24,27.17,,
13.5,122.5,2012,APR,30.92,25.02,2.55,78.33,23.88,3.39,28.93,4.9,0.91
14.5,122.5,2012,APR,30.56,26.57,2.52,79.76,23.41,4.15,28.66,4.68,0.92
15.5,122.5,2012,APR,29.5,26.82,1.63,79.58,23.86,3.75,28.72,,
13.5,122.5,2013,APR,32.85,25.94,0.63,73.11,24.29,3.27,30.69,4.09,0.66
14.5,122.5,2013,APR,31.33,26.9,1.0,78.56,23.77,4.08,29.5,3.91,0.76
15.5,122.5,2013,APR,29.59,27.3,1.56,79.99,23.83,3.69,29.35,,
13.5,122.5,2014,APR,32.19,25.6,1.74,75.63,21.8,4.06,29.42,3.32,0.62
14.5,122.5,2014,APR,29.23,26.49,1.87,79.72,22.15,4.54,28.34,3.43,0.75
15.5,122.5,2014,APR,28.59,26.57,1.05,78.65,23.3,4.06,28.27,,
13.5,122.5,2015,APR,32.35,25.41,1.94,74.73,23.47,4.39,29.5,3.53,0.61
14.5,122.5,2015,APR,30.02,25.67,2.42,80.01,22.31,4.98,28.38,3.27,0.72
15.5,122.5,2015,APR,28.55,26.15,2.36,81.03,22.7,4.78,28.05,,
13.5,122.5,2016,APR,32.42,25.81,1.1,73.75,25.03,3.79,30.4,4.25,0.65
14.5,122.5,2016,APR,31.02,26.8,0.93,79.23,24.6,4.52,29.38,3.68,0.73
15.5,122.5,2016,APR,29.34,27.04,0.75,80.81,25.0,4.09,29.07,,
13.5,122.5,2017,APR,31.83,24.19,3.82,77.6,22.64,3.75,29.02,4.75,0.74
14.5,122.5,2017,APR,30.44,25.18,3.22,79.2,21.59,4.53,28.57,4.0,0.76
15.5,122.5,2017,APR,28.85,25.12,2.0,80.87,21.86,4.39,28.23,,
13.5,122.5,2018,APR,31.75,24.86,4.06,79.11,23.75,4.5,28.72,5.06,0.77
14.5,122.5,2018,APR,29.43,26.06,2.43,81.48,22.71,5.06,28.3,4.08,0.79
15.5,122.5,2018,APR,29.1,25.97,1.66,81.88,23.34,4.8,28.42,,
13.5,122.5,2019,APR,33.57,25.07,1.2,69.17,25.19,3.96,31.21,1.96,0.48
14.5,122.5,2019,APR,30.8,25.81,1.62,78.5,24.52,4.9,29.21,2.3,0.62
15.5,122.5,2019,APR,29.39,26.1,1.46,80.06,24.19,4.04,28.65,,
13.5,122.5,2020,APR,31.75,24.86,4.52,77.18,23.97,3.94,29.3,5.51,0.83
14.5,122.5,2020,APR,29.49,26.5,7.9,80.84,22.53,4.71,28.81,5.02,0.88
15.5,122.5,2020,APR,29.1,26.4,2.99,81.34,21.7,4.46,28.69,,
13.5,122.5,2021,APR,30.86,24.59,3.09,78.03,21.1,4.91,28.48,5.37,0.82
14.5,122.5,2021,APR,29.95,25.92,3.73,79.24,20.9,5.39,28.39,4.6,0.84
15.5,122.5,2021,APR,29.3,26.21,2.09,78.96,22.04,5.59,28.43,,
13.5,122.5,2022,APR,30.36,25.36,9.98,81.58,19.55,4.57,28.34,4.4,0.9
14.5,122.5,2022,APR,29.14,26.12,7.99,81.63,19.1,5.4,28.36,4.37,0.94
15.5,122.5,2022,APR,29.35,26.51,4.04,80.68,19.36,5.34,28.47,,
13.5,122.5,2023,APR,32.16,24.5,2.84,77.43,21.47,4.05,29.24,4.16,0.7
14.5,122.5,2023,APR,30.1,26.01,3.27,80.45,20.75,4.43,28.6,3.51,0.76
15.5,122.5,2023,APR,28.79,26.3,1.68,81.49,21.28,4.54,28.35,,
13.5,122.5,2024,APR,34.02,25.94,0.58,72.51,25.29,4.21,31.12,3.28,0.56
14.5,122.5,2024,APR,31.12,26.79,0.61,79.89,25.09,4.94,29.53,2.8,0.65
15.5,122.5,2024,APR,29.68,27.1,0.47,81.31,25.65,4.17,29.24,,
13.5,122.5,2025,APR,32.43,25.54,1.94,76.58,24.2,3.49,29.73,5.13,0.79
14.5,122.5,2025,APR,29.74,26.75,1.62,79.62,23.73,4.11,29.14,4.47,0.83
15.5,122.5,2025,APR,29.62,27.16,0.85,79.23,23.96,3.68,29.22,,
13.5,122.5,1990,MAY,33.55,26.46,4.05,73.18,21.36,3.7,31.18,1.55,0.51
14.5,122.5,1990,MAY,30.7,27.13,4.89,80.25,22.21,4.37,29.46,1.77,0.66
15.5,122.5,1990,MAY,29.34,26.8,4.22,82.69,22.51,4.16,29.12,,
13.5,122.5,1991,MAY,32.38,25.99,2.56,72.71,22.6,4.02,30.6,2.82,0.54
14.5,122.5,1991,MAY,31.87,26.99,3.07,79.46,22.66,4.66,29.58,2.89,0.69
15.5,122.5,1991,MAY,30.59,26.73,2.65,80.68,23.19,4.55,29.08,,
13.5,122.5,1992,MAY,33.66,26.22,1.89,69.98,21.95,3.42,31.64,1.42,0.48
14.5,122.5,1992,MAY,31.99,26.81,2.57,75.79,22.79,4.35,30.09,1.56,0.62
15.5,122.5,1992,MAY,31.08,26.96,2.91,78.98,23.4,4.23,29.62,,
13.5,122.5,1993,MAY,33.27,26.37,0.85,66.53,23.82,3.83,31.85,1.12,0.47
14.5,122.5,1993,MAY,32.71,26.69,0.82,76.22,24.62,4.51,29.6,1.22,0.61
15.5,122.5,1993,MAY,31.33,27.15,1.21,78.92,24.91,4.04,29.16,,
13.5,122.5,1994,MAY,31.84,26.68,3.6,77.75,21.86,2.63,30.13,2.91,0.69
14.5,122.5,1994,MAY,31.97,27.3,4.1,78.98,21.92,3.27,29.92,2.99,0.8
15.5,122.5,1994,MAY,30.6,27.2,4.14,81.34,22.69,3.5,29.78,,
13.5,122.5,1995,MAY,32.6,26.18,4.1,73.6,22.07,3.18,30.57,1.64,0.51
14.5,122.5,1995,MAY,30.67,26.58,5.02,78.84,22.53,3.69,29.45,2.17,0.68
15.5,122.5,1995,MAY,30.27,26.88,4.92,81.4,22.55,3.92,29.41,,
13.5,122.5,1996,MAY,30.64,26.38,4.69,81.82,20.98,3.41,28.9,3.39,0.84
14.5,122.5,1996,MAY,30.58,26.92,5.77,81.74,21.68,3.96,29.15,3.7,0.94
15.5,122.5,1996,MAY,29.82,26.25,5.47,83.57,22.06,4.28,28.6,,
13.5,122.5,1997,MAY,32.76,25.92,3.35,74.26,20.76,4.46,30.4,2.2,0.52
14.5,122.5,1997,MAY,31.88,26.8,4.6,77.38,21.82,4.84,29.52,2.62,0.67
15.5,122.5,1997,MAY,30.21,24.2,6.66,79.21,22.36,4.68,29.32,,
13.5,122.5,1998,MAY,33.12,26.98,2.69,72.04,21.22,4.8,31.76,1.69,0.49
14.5,122.5,1998,MAY,32.7,27.1,3.33,79.43,22.41,5.24,29.94,1.67,0.62
15.5,122.5,1998,MAY,30.06,27.51,4.44,82.5,22.67,4.45,29.34,,
13.5,122.5,1999,MAY,30.22,26.56,4.93,79.91,18.86,2.45,29.53,3.04,0.9
14.5,122.5,1999,MAY,30.2,27.02,5.9,79.52,20.36,3.02,29.73,3.2,0.95
15.5,122.5,1999,MAY,30.24,26.91,4.74,80.86,21.32,3.29,29.93,,
13.5,122.5,2000,MAY,32.49,26.57,3.65,79.26,20.03,3.81,29.47,3.72,0.78
14.5,122.5,2000,MAY,30.13,26.85,5.15,81.61,19.78,4.26,29.21,3.51,0.88
15.5,122.5,2000,MAY,29.71,25.76,5.59,82.74,20.94,4.57,29.12,,
13.5,122.5,2001,MAY,32.64,26.99,3.89,77.64,20.86,3.36,30.28,3.26,0.7
14.5,122.5,2001,MAY,31.06,27.6,4.33,80.26,22.38,3.78,29.85,3.6,0.83
15.5,122.5,2001,MAY,31.07,27.36,4.6,81.96,22.66,4.02,29.82,,
13.5,122.5,2002,MAY,32.69,26.69,3.97,75.72,22.51,3.57,30.43,2.64,0.57
14.5,122.5,2002,MAY,31.14,27.15,3.52,78.17,23.25,3.94,29.55,2.78,0.68
15.5,122.5,2002,MAY,30.59,27.24,3.77,80.31,24.47,4.28,29.39,,
13.5,122.5,2003,MAY,33.77,27.12,4.16,73.98,20.03,4.57,31.13,2.17,0.51
14.5,122.5,2003,MAY,31.9,27.28,5.05,79.11,20.29,4.94,29.92,2.66,0.65
15.5,122.5,2003,MAY,30.9,27.31,4.27,80.88,21.88,4.91,29.58,,
13.5,122.5,2004,MAY,32.55,26.5,6.89,79.59,20.91,4.83,29.52,2.97,0.65
14.5,122.5,2004,MAY,29.71,26.79,8.74,83.42,21.17,5.37,28.79,3.27,0.83
15.5,122.5,2004,MAY,29.54,27.22,8.09,83.43,21.39,5.2,29.08,,
13.5,122.5,2005,MAY,34.4,26.97,1.62,72.43,22.3,2.81,31.33,1.79,0.49
14.5,122.5,2005,MAY,32.61,27.51,2.14,76.29,22.92,3.17,30.42,2.34,0.64
15.5,122.5,2005,MAY,30.28,27.72,3.2,80.77,23.22,3.61,29.93,,
13.5,122.5,2006,MAY,32.63,26.06,5.14,77.29,20.1,4.16,29.97,2.78,0.64
14.5,122.5,2006,MAY,31.11,26.72,5.08,79.54,20.93,4.53,29.64,2.85,0.75
15.5,122.5,2006,MAY,29.67,27.2,4.71,80.53,22.56,4.37,29.5,,
13.5,122.5,2007,MAY,32.62,26.43,5.23,74.46,21.72,2.71,30.78,2.7,0.57
14.5,122.5,2007,MAY,30.91,27.21,4.45,78.18,22.07,3.39,29.96,2.45,0.68
15.5,122.5,2007,MAY,29.97,27.6,3.92,81.04,22.4,3.54,29.61,,
13.5,122.5,2008,MAY,29.86,25.97,11.48,82.95,18.07,3.3,28.67,3.16,0.94
14.5,122.5,2008,MAY,30.28,26.73,9.51,81.73,18.81,3.61,29.22,3.42,0.97
15.5,122.5,2008,MAY,30.04,26.97,9.45,81.59,19.97,3.94,29.62,,
13.5,122.5,2009,MAY,30.34,25.6,12.68,83.14,18.34,3.42,28.42,3.86,0.98
14.5,122.5,2009,MAY,30.29,25.94,14.41,83.1,18.7,4.09,28.49,4.17,0.99
15.5,122.5,2009,MAY,29.22,26.04,8.83,82.74,19.98,4.44,28.66,,
13.5,122.5,2010,MAY,34.47,27.05,1.02,68.47,24.24,3.36,32.62,1.15,0.47
14.5,122.5,2010,MAY,32.97,27.8,1.48,76.53,23.99,4.01,30.61,1.51,0.61
15.5,122.5,2010,MAY,31.33,27.58,2.36,80.57,24.71,3.74,29.82,,
13.5,122.5,2011,MAY,30.65,26.34,10.55,82.46,18.69,3.75,28.74,3.3,0.89
14.5,122.5,2011,MAY,30.04,26.59,10.15,83.59,19.34,4.48,28.83,3.14,0.9
15.5,122.5,2011,MAY,29.39,26.69,9.39,83.22,20.92,4.49,28.96,,
13.5,122.5,2012,MAY,31.93,27.08,4.87,77.08,20.66,2.2,30.1,2.88,0.8
14.5,122.5,2012,MAY,31.03,27.94,5.67,76.35,21.68,2.57,30.36,2.9,0.87
15.5,122.5,2012,MAY,31.16,28.14,4.27,77.8,22.79,2.82,30.45,,
13.5,122.5,2013,MAY,33.31,27.7,3.35,74.61,20.74,2.81,30.91,2.17,0.58
14.5,122.5,2013,MAY,31.89,27.97,4.63,77.17,20.91,3.25,30.31,2.34,0.73
15.5,122.5,2013,MAY,30.67,27.46,4.76,80.27,20.57,3.54,30.09,,
13.5,122.5,2014,MAY,33.3,27.35,1.57,71.6,24.39,3.21,31.54,2.55,0.53
14.5,122.5,2014,MAY,31.79,27.85,1.46,77.4,24.74,3.97,30.36,2.59,0.66
15.5,122.5,2014,MAY,30.54,28.25,1.36,79.13,25.47,3.62,30.11,,
13.5,122.5,2015,MAY,32.84,26.4,1.44,70.11,23.85,2.97,31.58,2.75,0.53
14.5,122.5,2015,MAY,33.12,27.5,1.43,75.77,23.63,3.65,30.3,2.56,0.64
15.5,122.5,2015,MAY,30.57,27.46,3.05,80.19,24.07,3.94,29.7,,
13.5,122.5,2016,MAY,33.42,27.41,2.08,73.25,22.12,3.31,31.46,2.56,0.53
14.5,122.5,2016,MAY,31.57,28.12,2.82,78.09,22.67,3.99,30.4,2.39,0.65
15.5,122.5,2016,MAY,30.9,28.17,2.95,80.57,23.37,3.72,30.14,,
13.5,122.5,2017,MAY,32.06,27.4,4.7,77.92,21.89,3.09,30.29,3.13,0.7
14.5,122.5,2017,MAY,31.84,27.61,4.7,78.71,22.48,3.63,30.06,3.04,0.77
15.5,122.5,2017,MAY,30.84,28.31,4.32,80.41,22.74,3.66,30.03,,
13.5,122.5,2018,MAY,32.13,26.89,4.13,76.84,22.42,3.34,30.24,3.34,0.69
14.5,122.5,2018,MAY,30.19,27.73,5.55,81.24,22.74,4.01,29.93,2.83,0.75
15.5,122.5,2018,MAY,30.07,27.89,2.84,80.85,24.18,3.55,30.0,,
13.5,122.5,2019,MAY,33.57,27.53,4.4,70.74,22.07,2.46,31.72,2.22,0.53
14.5,122.5,2019,MAY,32.44,27.61,5.91,75.29,22.2,2.65,30.53,2.49,0.7
15.5,122.5,2019,MAY,31.23,27.22,5.98,79.68,21.92,2.83,30.06,,
13.5,122.5,2020,MAY,32.69,26.34,7.5,78.21,22.88,3.44,30.33,3.89,0.77
14.5,122.5,2020,MAY,31.61,27.68,5.74,79.68,22.69,3.98,30.13,3.93,0.87
15.5,122.5,2020,MAY,30.71,27.97,4.47,81.45,22.85,4.04,30.02,,
13.5,122.5,2021,MAY,31.98,25.49,3.27,78.67,23.16,3.65,30.01,3.76,0.72
14.5,122.5,2021,MAY,31.94,26.76,2.45,81.64,23.3,4.32,29.66,3.23,0.78
15.5,122.5,2021,MAY,30.72,27.31,1.57,82.31,24.97,3.82,29.59,,
13.5,122.5,2022,MAY,31.39,26.69,4.53,79.33,22.37,3.33,29.66,4.17,0.85
14.5,122.5,2022,MAY,30.93,27.97,5.16,79.02,22.96,3.86,29.78,3.92,0.88
15.5,122.5,2022,MAY,30.09,27.73,3.74,81.21,23.26,3.95,29.9,,
13.5,122.5,2023,MAY,32.86,26.86,4.82,77.49,21.14,3.5,30.5,3.46,0.68
14.5,122.5,2023,MAY,32.17,27.7,5.0,79.23,21.71,4.19,29.94,3.27,0.77
15.5,122.5,2023,MAY,31.85,26.95,2.73,80.49,22.09,4.43,29.73,,
13.5,122.5,2024,MAY,34.61,27.97,5.54,71.33,21.92,4.23,32.4,1.98,0.51
14.5,122.5,2024,MAY,32.27,28.42,7.41,80.18,22.11,4.94,30.64,2.01,0.65
15.5,122.5,2024,MAY,30.97,28.34,6.05,82.39,21.68,4.38,30.25,,
13.5,122.5,2025,MAY,32.32,27.57,5.8,77.7,22.32,3.47,30.37,3.86,0.74
14.5,122.5,2025,MAY,31.67,28.43,4.56,78.53,22.79,4.1,30.32,3.44,0.77
15.5,122.5,2025,MAY,30.67,28.32,3.2,80.22,22.65,3.9,30.29,,
13.5,122.5,1990,JUN,30.87,26.28,9.25,81.77,17.9,4.28,28.94,2.67,0.73
14.5,122.5,1990,JUN,30.47,27.21,11.73,80.93,18.68,4.69,29.53,3.18,0.86
15.5,122.5,1990,JUN,29.81,27.35,14.39,82.73,19.99,5.39,29.34,,
13.5,122.5,1991,JUN,32.58,26.61,7.09,77.96,20.75,4.62,29.56,2.83,0.63
14.5,122.5,1991,JUN,31.23,26.84,6.49,81.07,21.11,5.06,29.13,2.81,0.75
15.5,122.5,1991,JUN,30.13,27.47,4.43,81.74,21.76,4.89,28.71,,
13.5,122.5,1992,JUN,32.64,27.33,3.5,74.96,19.82,4.16,30.78,1.93,0.52
14.5,122.5,1992,JUN,31.6,27.14,4.21,78.64,20.61,3.95,29.73,2.2,0.68
15.5,122.5,1992,JUN,30.21,27.29,4.5,81.44,22.44,3.95,29.85,,
13.5,122.5,1993,JUN,33.21,27.05,3.69,71.85,20.75,3.54,31.46,1.33,0.5
14.5,122.5,1993,JUN,32.6,27.62,4.31,74.85,21.47,4.04,30.61,1.41,0.64
15.5,122.5,1993,JUN,30.44,27.8,4.62,80.95,23.06,4.31,29.64,,
13.5,122.5,1994,JUN,31.1,26.33,7.99,81.08,19.0,3.39,29.41,2.97,0.76
14.5,122.5,1994,JUN,30.82,26.87,8.42,80.01,19.23,3.71,29.75,3.29,0.88
15.5,122.5,1994,JUN,30.31,26.94,6.02,81.08,21.71,4.21,29.96,,
13.5,122.5,1995,JUN,31.5,26.62,6.21,80.11,22.03,3.61,29.73,2.99,0.71
14.5,122.5,1995,JUN,32.14,27.09,5.17,78.73,22.75,4.11,29.88,3.37,0.82
15.5,122.5,1995,JUN,30.34,27.81,3.94,81.9,24.25,4.63,29.71,,
13.5,122.5,1996,JUN,30.91,26.4,7.53,81.41,19.72,3.25,29.1,3.29,0.88
14.5,122.5,1996,JUN,29.84,26.88,6.7,81.55,20.13,3.88,29.31,3.44,0.96
15.5,122.5,1996,JUN,29.64,26.89,5.12,81.9,21.53,3.92,29.58,,
13.5,122.5,1997,JUN,31.0,26.59,2.85,78.0,20.21,3.35,29.67,1.79,0.55
