LAT,LON,YEAR,MONTH,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,WS2M,TS,EVLAND,GWETROOT
13.5,122.5,2011,JAN,27.78,23.18,9.36,84.3,13.63,6.56,25.83,3.72,0.99
14.5,122.5,2011,JAN,27.12,23.82,17.49,81.03,11.95,7.43,26.33,4.22,1.0
15.5,122.5,2011,JAN,26.97,23.49,8.44,79.82,11.18,7.75,26.92,,
13.5,122.5,2012,JAN,28.73,24.22,11.69,85.16,14.61,5.44,26.47,4.23,0.98
14.5,122.5,2012,JAN,27.56,25.49,10.82,82.27,12.63,6.33,26.68,4.49,0.99
15.5,122.5,2012,JAN,27.77,25.68,4.17,79.94,13.61,6.4,27.27,,
13.5,122.5,2013,JAN,28.85,23.23,6.61,83.27,13.99,6.5,25.95,4.29,0.96
14.5,122.5,2013,JAN,28.16,24.42,8.89,79.86,12.74,7.22,26.68,4.58,0.98
15.5,122.5,2013,JAN,28.19,24.6,4.11,78.54,13.94,7.22,27.31,,
13.5,122.5,2014,JAN,28.32,21.43,2.67,80.38,14.08,7.57,25.23,4.29,0.92
14.5,122.5,2014,JAN,27.07,22.87,8.92,77.49,13.12,7.87,25.77,4.65,0.97
15.5,122.5,2014,JAN,27.03,23.28,3.57,76.23,14.07,7.81,26.62,,
13.5,122.5,2015,JAN,27.86,23.07,6.59,83.43,13.98,6.53,25.27,4.51,0.96
14.5,122.5,2015,JAN,27.21,24.05,7.29,80.49,12.8,7.25,25.86,4.39,0.97
15.5,122.5,2015,JAN,26.75,24.27,3.19,78.8,13.18,7.31,26.47,,
13.5,122.5,2016,JAN,29.4,23.63,4.39,82.0,16.88,5.11,26.85,4.51,0.91
14.5,122.5,2016,JAN,27.91,24.62,4.3,81.25,15.69,5.82,27.29,4.12,0.94
15.5,122.5,2016,JAN,27.84,24.18,2.01,80.32,16.54,5.5,27.5,,
13.5,122.5,2017,JAN,28.56,23.83,10.67,84.96,12.48,6.53,25.94,4.17,0.98
14.5,122.5,2017,JAN,27.59,25.33,10.99,81.34,11.51,7.47,26.61,4.47,0.99
15.5,122.5,2017,JAN,27.55,25.11,6.28,79.54,12.98,7.48,26.97,,
13.5,122.5,2018,JAN,28.86,23.92,13.49,86.61,12.72,6.0,26.3,3.9,0.99
14.5,122.5,2018,JAN,27.33,24.71,16.31,84.1,12.1,6.81,26.69,4.08,1.0
15.5,122.5,2018,JAN,27.47,24.28,7.01,82.58,12.82,6.78,27.11,,
13.5,122.5,2019,JAN,28.21,22.82,3.17,80.18,16.5,6.62,25.77,4.71,0.94
14.5,122.5,2019,JAN,27.35,24.51,4.93,77.4,15.5,7.47,26.63,4.67,0.95
15.5,122.5,2019,JAN,27.33,24.91,2.23,76.88,15.11,7.32,27.08,,
13.5,122.5,2020,JAN,29.21,24.01,6.65,81.97,15.42,5.54,26.71,4.58,0.94
14.5,122.5,2020,JAN,28.52,25.31,5.13,79.64,14.73,6.47,27.23,4.45,0.95
15.5,122.5,2020,JAN,27.72,25.07,2.03,78.62,15.48,6.49,27.56,,
13.5,122.5,2021,JAN,29.13,23.92,11.16,85.11,13.47,6.76,26.5,4.21,0.99
14.5,122.5,2021,JAN,28.26,24.8,13.39,82.3,11.97,7.66,26.92,4.38,0.99
15.5,122.5,2021,JAN,28.63,24.66,6.2,81.04,12.21,8.03,27.66,,
13.5,122.5,2022,JAN,28.66,23.28,4.62,81.8,16.67,5.39,26.32,4.14,0.92
14.5,122.5,2022,JAN,28.04,24.65,5.83,80.08,15.46,6.13,26.75,4.01,0.94
15.5,122.5,2022,JAN,27.81,25.17,2.62,78.87,15.49,6.11,27.18,,
13.5,122.5,2023,JAN,28.56,23.62,18.85,86.87,11.07,6.77,26.0,3.69,1.0
14.5,122.5,2023,JAN,27.7,24.37,19.18,83.74,11.01,7.74,26.44,4.27,1.0
15.5,122.5,2023,JAN,27.86,24.18,6.72,81.4,12.61,7.94,27.08,,
13.5,122.5,2024,JAN,29.12,23.57,6.16,82.54,14.14,6.21,26.53,4.66,0.96
14.5,122.5,2024,JAN,27.93,24.98,4.65,79.92,13.26,7.05,27.13,4.43,0.95
15.5,122.5,2024,JAN,28.05,25.03,1.6,79.08,14.34,7.11,27.41,,
13.5,122.5,2025,JAN,28.89,24.31,15.31,86.45,13.3,5.61,26.65,4.22,0.99
14.5,122.5,2025,JAN,27.43,25.19,12.47,85.07,11.68,6.63,26.76,4.17,0.99
15.5,122.5,2025,JAN,27.56,24.87,4.54,83.85,12.76,7.05,27.08,,
13.5,122.5,1990,FEB,29.43,23.5,1.35,78.44,20.51,4.92,26.56,4.32,0.77
14.5,122.5,1990,FEB,26.78,24.76,1.26,80.24,19.74,5.6,26.19,4.16,0.88
15.5,122.5,1990,FEB,26.62,24.92,0.54,79.79,20.04,5.26,26.3,,
13.5,122.5,1991,FEB,29.4,23.63,3.39,78.57,18.5,5.16,26.8,4.02,0.75
14.5,122.5,1991,FEB,27.36,24.62,5.1,79.37,16.54,6.08,26.78,3.99,0.85
15.5,122.5,1991,FEB,26.97,24.43,2.67,79.38,16.32,5.83,26.7,,
13.5,122.5,1992,FEB,28.98,22.56,1.74,77.17,19.49,4.9,26.49,4.28,0.8
14.5,122.5,1992,FEB,28.44,23.7,1.8,77.04,18.27,5.69,26.66,3.72,0.82
15.5,122.5,1992,FEB,27.4,23.88,1.02,78.29,18.69,5.5,26.61,,
13.5,122.5,1993,FEB,28.69,22.33,2.21,81.96,18.82,5.43,25.76,4.27,0.8
14.5,122.5,1993,FEB,26.64,23.69,2.75,81.41,17.47,6.23,25.84,3.93,0.86
15.5,122.5,1993,FEB,26.05,23.8,1.13,81.3,17.56,6.13,25.73,,
13.5,122.5,1994,FEB,28.76,23.6,2.27,80.18,19.22,4.82,26.4,4.73,0.89
14.5,122.5,1994,FEB,27.39,24.63,3.3,80.0,16.95,5.69,26.31,4.44,0.92
15.5,122.5,1994,FEB,26.57,24.62,1.72,79.51,17.13,5.46,26.27,,
13.5,122.5,1995,FEB,28.93,22.71,3.49,79.0,19.89,5.09,26.31,4.4,0.81
14.5,122.5,1995,FEB,26.77,23.74,4.62,79.63,17.8,5.96,26.23,4.33,0.91
15.5,122.5,1995,FEB,26.31,23.48,1.97,79.09,17.56,5.77,26.3,,
